SnapshotDate,TransactionType,FTR_ID,Source,Sink,MW_Current,OriginalAcquisitionCost,MW_Previous,MW_Sold,Notes,HedgeType,StartDate,EndDate,AcquisitionCost_Previous,AcquisitionCost_Current,SaleProceeds,Profit,TradingPeriods,PricePerMW
2026-01-31,INITIAL,7816186,WKM,RDF,0.0,216.0,,,,,,,,,,,,
2026-01-31,INITIAL,7816294,WKM,RDF,1.7,918.0,,,,,,,,,,,,
2026-01-31,INITIAL,7816355,WKM,RDF,10.8,5832.0,,,,,,,,,,,,
2026-01-31,INITIAL,7815770,BEN,WKM,0.6,11685.6,,,,,,,,,,,,
2026-01-31,INITIAL,7816362,BEN,WKM,0.6,11685.6,,,,,,,,,,,,
2026-01-31,INITIAL,7815775,HAY,WKM,0.2,1055.52,,,,,,,,,,,,
2026-01-31,INITIAL,7816117,HAY,WKM,53.3,281296.08,,,,,,,,,,,,
2026-01-31,INITIAL,7816367,HAY,WKM,0.2,1055.52,,,,,,,,,,,,
2026-01-31,INITIAL,7816046,OTA,WKM,2.2,-18659.52,,,,,,,,,,,,
2026-01-31,INITIAL,7815751,RDF,WKM,26.0,22276.8,,,,,,,,,,,,
2026-01-31,INITIAL,7816120,RDF,WKM,4.3,3684.24,,,,,,,,,,,,
2026-01-31,INITIAL,7815640,RDF,WKM,0.1,85.68,,,,,,,,,,,,
2026-01-31,INITIAL,7815824,RDF,WKM,7.7,8996.4,,,,,,,,,,,,
2026-01-31,INITIAL,7815702,HAY,BEN,3.1,7299.36,,,,,,,,,,,,
2026-01-31,INITIAL,7816116,HAY,BEN,20.6,10975.68,,,,,,,,,,,,
2026-01-31,INITIAL,7815923,HAY,BEN,6.0,3196.8,,,,,,,,,,,,
2026-01-31,INITIAL,7815924,HAY,BEN,6.0,3196.8,,,,,,,,,,,,
2026-01-31,INITIAL,7815925,HAY,BEN,6.0,3196.8,,,,,,,,,,,,
2026-01-31,INITIAL,7815926,HAY,BEN,3.7,1971.36,,,,,,,,,,,,
2026-01-31,INITIAL,7815835,HAY,BEN,13.5,7192.8,,,,,,,,,,,,
2026-01-31,INITIAL,7816125,HAY,BEN,1.2,639.36,,,,,,,,,,,,
2026-01-31,INITIAL,7816056,INV,BEN,0.0,799.2,,,,,,,,,,,,
2026-01-31,INITIAL,7815711,INV,BEN,19.8,26373.6,,,,,,,,,,,,
2026-01-31,INITIAL,7816107,INV,BEN,18.0,23976.0,,,,,,,,,,,,
2026-01-31,INITIAL,7815674,INV,BEN,4.0,5328.0,,,,,,,,,,,,
2026-01-31,INITIAL,7816054,ISL,BEN,0.1,2.88,,,,,,,,,,,,
2026-01-31,INITIAL,7816193,ISL,BEN,2.5,72.0,,,,,,,,,,,,
2026-01-31,INITIAL,7816337,ISL,BEN,12.3,354.24,,,,,,,,,,,,
2026-01-31,INITIAL,7815691,BEN,HAY,21.4,303845.76,,,,,,,,,,,,
2026-01-31,INITIAL,7816115,BEN,HAY,2.0,28396.8,,,,,,,,,,,,
2026-01-31,INITIAL,7815688,BEN,HAY,10.4,147663.36,,,,,,,,,,,,
2026-01-31,INITIAL,7815777,INV,HAY,0.5,9313.92,,,,,,,,,,,,
2026-01-31,INITIAL,7816369,INV,HAY,0.5,9313.92,,,,,,,,,,,,
2026-01-31,INITIAL,7816047,OTA,HAY,24.3,-306180.0,,,,,,,,,,,,
2026-01-31,INITIAL,7815645,RDF,HAY,2.0,3412.8,,,,,,,,,,,,
