Point of connection,Trading date,Trading period,$/MWh,Price status
OTA2201,2026-01-21,17,26.79,Final
OTA2201,2026-01-21,18,25.24,Final
OTA2201,2026-01-21,19,56.09,Final
OTA2201,2026-01-21,20,187.97,Final
OTA2201,2026-01-21,21,12.95,Final
OTA2201,2026-01-21,22,9.99,Final
OTA2201,2026-01-21,23,7.51,Final
OTA2201,2026-01-21,24,10.39,Final
OTA2201,2026-01-21,25,4.03,Final
OTA2201,2026-01-21,26,7.79,Final
OTA2201,2026-01-21,27,3.3,Final
OTA2201,2026-01-21,28,3.22,Final
OTA2201,2026-01-21,29,2.4,Final
OTA2201,2026-01-21,30,2.76,Final
OTA2201,2026-01-21,31,3.5,Final
OTA2201,2026-01-21,32,5.31,Final
OTA2201,2026-01-21,33,4.12,Final
OTA2201,2026-01-21,34,4.3,Final
OTA2201,2026-01-21,35,3.04,Final
OTA2201,2026-01-21,36,2.77,Final
OTA2201,2026-01-21,37,1.36,Final
OTA2201,2026-01-21,38,1.1,Final
OTA2201,2026-01-21,39,0.35,Final
OTA2201,2026-01-21,40,0.3,Final
OTA2201,2026-01-21,41,0.58,Final
OTA2201,2026-01-21,42,0.03,Final
OTA2201,2026-01-21,43,0.1,Final
OTA2201,2026-01-21,44,0.03,Final
OTA2201,2026-01-21,45,0.33,Final
OTA2201,2026-01-21,46,0.7,Final
OTA2201,2026-01-21,47,0.8,Final
OTA2201,2026-01-21,48,0.03,Final
OTA2201,2026-01-20,1,0.02,Final
OTA2201,2026-01-20,2,0.01,Final
OTA2201,2026-01-20,3,0.01,Final
OTA2201,2026-01-20,4,0.01,Final
OTA2201,2026-01-20,5,0.01,Final
OTA2201,2026-01-20,6,0.01,Final
OTA2201,2026-01-20,7,0.01,Final
OTA2201,2026-01-20,8,0.01,Final
OTA2201,2026-01-20,9,0.01,Final
OTA2201,2026-01-20,10,0.01,Final
OTA2201,2026-01-20,11,0.01,Final
OTA2201,2026-01-20,12,6.79,Final
OTA2201,2026-01-20,13,2.39,Final
OTA2201,2026-01-20,14,1.68,Final
OTA2201,2026-01-20,15,2.46,Final
OTA2201,2026-01-20,16,4.35,Final
OTA2201,2026-01-20,17,3.0,Final
OTA2201,2026-01-20,18,3.1,Final
OTA2201,2026-01-20,19,10.23,Final
OTA2201,2026-01-20,20,5.89,Final
OTA2201,2026-01-20,21,10.89,Final
OTA2201,2026-01-20,22,10.71,Final
OTA2201,2026-01-20,23,17.15,Final
OTA2201,2026-01-20,24,10.02,Final
OTA2201,2026-01-20,25,11.48,Final
OTA2201,2026-01-20,26,10.88,Final
OTA2201,2026-01-20,27,10.56,Final
OTA2201,2026-01-20,28,10.8,Final
OTA2201,2026-01-20,29,7.99,Final
OTA2201,2026-01-20,30,6.99,Final
OTA2201,2026-01-20,31,9.04,Final
OTA2201,2026-01-20,32,4.34,Final
OTA2201,2026-01-20,33,7.38,Final
OTA2201,2026-01-20,34,10.74,Final
OTA2201,2026-01-20,35,17.28,Final
OTA2201,2026-01-20,36,30.09,Final
OTA2201,2026-01-20,37,8.59,Final
OTA2201,2026-01-20,38,10.66,Final
OTA2201,2026-01-20,39,9.55,Final
OTA2201,2026-01-20,40,10.46,Final
OTA2201,2026-01-20,41,6.78,Final
OTA2201,2026-01-20,42,3.87,Final
OTA2201,2026-01-20,43,10.76,Final
OTA2201,2026-01-20,44,9.99,Final
OTA2201,2026-01-20,45,7.69,Final
OTA2201,2026-01-20,46,5.53,Final
OTA2201,2026-01-20,47,2.28,Final
OTA2201,2026-01-20,48,1.74,Final
OTA2201,2026-01-19,1,0.02,Final
OTA2201,2026-01-19,2,0.01,Final
OTA2201,2026-01-19,3,0.01,Final
OTA2201,2026-01-19,4,0.01,Final
OTA2201,2026-01-19,5,0.01,Final
OTA2201,2026-01-19,6,0.01,Final
OTA2201,2026-01-19,7,0.01,Final
OTA2201,2026-01-19,8,0.01,Final
OTA2201,2026-01-19,9,0.01,Final
OTA2201,2026-01-19,10,0.01,Final
OTA2201,2026-01-19,11,0.01,Final
OTA2201,2026-01-19,12,0.1,Final
OTA2201,2026-01-19,13,0.01,Final
OTA2201,2026-01-19,14,0.67,Final
